ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
84;20160131;0.0.0.1-2-1.4;Fiscalizacion Chubut;Primer Trimestre 2016;8,5
85;20160201;0.0.0.1-1;Capacitacion Continua;Primer Trimestre 2016;32,24
86;20160202;0.0.0.1-3-2.1;Agrarios Migrantes;Primer Trimestre 2016;100
87;20160413;0.0.0.1-2-1.4;Fiscalizacion Chubut;Segundo Trimestre 2016;55
88;20160709;0.0.0.1-2-1.4;Fiscalizacion Chubut;Tercer Trimestre 2016;8,5
89;20160710;0.0.0.1;Capacitacion Continua;Tercer Trimestre 2016;22
90;20160711;0.0.0.1;Credito Fiscal;Tercer Trimestre 2016;83,25
91;20160712;0.0.0.1-1-1.2;Desarrollo de Procesos;Tercer Trimestre 2016;86,25
92;20160714;0.0.0.1-2-1;Desarrollo de Procesos;Tercer Trimestre 2016;102,675
93;20160713;0.0.0.1-2-1;Desarrollo de Procesos;Tercer Trimestre 2016;174,825
