ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
182;20160212;0.0.0.1-1-1.2;Desarrollo de Procesos;Primer Trimestre 2016;123,00
189;20160514;0.0.0.1-1-2;Desarrollo de Aplicativos;Segundo Trimestre 2016;65,00
195;20160822;0.0.0.1-2-1;Capacitacion Continua;Tercer Trimestre 2016;138,75
157;20160129;0.0.0.1-3;Formacion Continua;Primer Trimestre 2016;50,00
172;20160207;0.0.0.1-3;Concientizacion Laboral;Primer Trimestre 2016;50,00
163;20160505;0.0.0.1-3;Desarrollo de Procesos;Segundo Trimestre 2016;60,00
183;20160512;0.0.0.1-3-1;Concientizacion Laboral;Segundo Trimestre 2016;30,00
164;20160506;0.0.0.1-3-1.1;Formacion Continua;Segundo Trimestre 2016;100,00
186;20160818;0.0.0.1-3-1.1;Concientizacion Laboral;Tercer Trimestre 2016;100,00
192;20160819;0.0.0.1-3-1.1;Entrenamiento de Trabajadores;Tercer Trimestre 2016;100,00
191;20160516;0.0.0.1-3-2;Laboratorios de Emprendimiento;Segundo Trimestre 2016;100,00
194;20160821;0.0.0.1-3-2;Credito Fiscal;Tercer Trimestre 2016;100,00
165;20160507;0.0.0.1-3-2.1;Credito Fiscal;Segundo Trimestre 2016;100,00
184;20160513;0.0.0.1-3-2.1;Agrarios Migrantes;Segundo Trimestre 2016;100,00
193;20160820;0.0.0.1-3-2.1;Laboratorios de Emprendimiento;Tercer Trimestre 2016;100,00
