COD_CEN_SAN;NOM_TRI_SAN;F11_FIN_SAN;F21_FIN_SAN
0.0.0.1;Primer Trimestre 2015;1050;375
0.0.0.1-1;Primer Trimestre 2015;9;24,18
0.0.0.1-1-1;Primer Trimestre 2015;6;18,3
0.0.0.1-1-1.1;Primer Trimestre 2015;90,75;0
0.0.0.1-1-1.2;Primer Trimestre 2015;92,25;0
0.0.0.1-1-2;Primer Trimestre 2015;7,5;40,5
0.0.0.1-2;Primer Trimestre 2015;627,465;0
0.0.0.1-2-1;Primer Trimestre 2015;545,625;0
0.0.0.1-2-1.1;Primer Trimestre 2015;1200;0
0.0.0.1-2-1.2;Primer Trimestre 2015;900;0
0.0.0.1-2-1.3;Primer Trimestre 2015;375;0
0.0.0.1-2-1.4;Primer Trimestre 2015;225;0
0.0.0.1-3;Primer Trimestre 2015;16,5;150
0.0.0.1-3-1;Primer Trimestre 2015;0;22,515
0.0.0.1-3-1.1;Primer Trimestre 2015;11,25;375
0.0.0.1-3-2;Primer Trimestre 2015;0;15
0.0.0.1-3-2.1;Primer Trimestre 2015;297,75;0
0.0.0.1;Segundo Trimestre 2015;975;225
0.0.0.1-1;Segundo Trimestre 2015;0;35,8125
0.0.0.1-1-1;Segundo Trimestre 2015;0;28,125
0.0.0.1-1-1.1;Segundo Trimestre 2015;0;105,75
0.0.0.1-1-1.2;Segundo Trimestre 2015;0;175,5
0.0.0.1-1-2;Segundo Trimestre 2015;0;258,75
0.0.0.1-2;Segundo Trimestre 2015;508,5;65,25
0.0.0.1-2-1;Segundo Trimestre 2015;545,625;0
0.0.0.1-2-1.1;Segundo Trimestre 2015;1275;375
0.0.0.1-2-1.2;Segundo Trimestre 2015;975;187,5
0.0.0.1-2-1.3;Segundo Trimestre 2015;450;0
0.0.0.1-2-1.4;Segundo Trimestre 2015;225;0
0.0.0.1-3;Segundo Trimestre 2015;0;136,95
0.0.0.1-3-1;Segundo Trimestre 2015;0;9
0.0.0.1-3-1.1;Segundo Trimestre 2015;225;0
0.0.0.1-3-2;Segundo Trimestre 2015;0;75
0.0.0.1-3-2.1;Segundo Trimestre 2015;0;300
0.0.0.1;Tercer Trimestre 2015;1200;300
0.0.0.1-1;Tercer Trimestre 2015;0;47,445
0.0.0.1-1-1;Tercer Trimestre 2015;0;37,95
0.0.0.1-1-1.1;Tercer Trimestre 2015;0;116,25
0.0.0.1-1-1.2;Tercer Trimestre 2015;0;258,75
0.0.0.1-1-2;Tercer Trimestre 2015;0;57
0.0.0.1-2;Tercer Trimestre 2015;666;0
0.0.0.1-2-1;Tercer Trimestre 2015;545,625;0
0.0.0.1-2-1.1;Tercer Trimestre 2015;16,5;375
0.0.0.1-2-1.2;Tercer Trimestre 2015;1050;187,5
0.0.0.1-2-1.3;Tercer Trimestre 2015;525;0
0.0.0.1-2-1.4;Tercer Trimestre 2015;300;0
0.0.0.1-3;Tercer Trimestre 2015;0;183,7125
0.0.0.1-3-1;Tercer Trimestre 2015;0;30
0.0.0.1-3-1.1;Tercer Trimestre 2015;0;300
0.0.0.1-3-2;Tercer Trimestre 2015;16,5;93,75
0.0.0.1-3-2.1;Tercer Trimestre 2015;75;300
0.0.0.1;Cuarto Trimestre 2015;1200;300
0.0.0.1-1;Cuarto Trimestre 2015;0;59,0775
0.0.0.1-1-1;Cuarto Trimestre 2015;0;47,775
0.0.0.1-1-1.1;Cuarto Trimestre 2015;24,75;135,75
0.0.0.1-1-1.2;Cuarto Trimestre 2015;0;342
0.0.0.1-1-2;Cuarto Trimestre 2015;0;65,25
0.0.0.1-2;Cuarto Trimestre 2015;627,465;0
0.0.0.1-2-1;Cuarto Trimestre 2015;545,625;0
0.0.0.1-2-1.1;Cuarto Trimestre 2015;1425;375
0.0.0.1-2-1.2;Cuarto Trimestre 2015;1125;187,5
0.0.0.1-2-1.3;Cuarto Trimestre 2015;600;0
0.0.0.1-2-1.4;Cuarto Trimestre 2015;300;0
0.0.0.1-3;Cuarto Trimestre 2015;9;234
0.0.0.1-3-1;Cuarto Trimestre 2015;0;37,5
0.0.0.1-3-1.1;Cuarto Trimestre 2015;75;300
0.0.0.1-3-2;Cuarto Trimestre 2015;0;112,5
0.0.0.1-3-2.1;Cuarto Trimestre 2015;150;300
